광역지자체명,기초지자체명,2022 기초지자체 방문자 수
강원특별자치도,춘천시,3.24E+07
강원특별자치도,원주시,3.16E+07
강원특별자치도,강릉시,3.57E+07
강원특별자치도,동해시,1.20E+07
강원특별자치도,태백시,5306826
강원특별자치도,속초시,2.50E+07
강원특별자치도,삼척시,1.17E+07
강원특별자치도,홍천군,1.75E+07
강원특별자치도,횡성군,1.29E+07
강원특별자치도,영월군,6950468
강원특별자치도,평창군,1.70E+07
강원특별자치도,정선군,8999826
강원특별자치도,철원군,7145516
강원특별자치도,화천군,4250925
강원특별자치도,양구군,2856844
강원특별자치도,인제군,9276813
강원특별자치도,고성군,1.31E+07
강원특별자치도,양양군,1.68E+07
경기도,수원시,1.67E+08
경기도,성남시,1.38E+08
경기도,의정부시,4.15E+07
경기도,안양시,6.27E+07
경기도,부천시,6.99E+07
경기도,광명시,4.00E+07
경기도,평택시,4.70E+07
경기도,동두천시,9451393
경기도,안산시,7.14E+07
경기도,고양시,1.34E+08
경기도,과천시,2.02E+07
경기도,구리시,4.48E+07
경기도,남양주시,7.26E+07
경기도,오산시,2.86E+07
경기도,시흥시,5.30E+07
경기도,군포시,2.56E+07
경기도,의왕시,2.86E+07
경기도,하남시,5.66E+07
경기도,용인시,1.27E+08
경기도,파주시,5.42E+07
경기도,이천시,4.00E+07
경기도,안성시,3.71E+07
경기도,김포시,5.09E+07
경기도,화성시,9.76E+07
경기도,광주시,4.70E+07
경기도,양주시,3.31E+07
경기도,포천시,3.02E+07
경기도,여주시,2.61E+07
경기도,연천군,9014352
경기도,가평군,2.90E+07
경기도,양평군,3.30E+07
경상남도,창원시,1.08E+08
경상남도,진주시,2.24E+07
경상남도,통영시,1.59E+07
경상남도,사천시,1.60E+07
경상남도,김해시,4.31E+07
경상남도,밀양시,1.51E+07
경상남도,거제시,2.31E+07
경상남도,양산시,3.31E+07
경상남도,의령군,4224196
경상남도,함안군,1.09E+07
경상남도,창녕군,9477248
경상남도,고성군,9274412
경상남도,남해군,8727859
경상남도,하동군,7945378
경상남도,산청군,6966148
경상남도,함양군,5458870
경상남도,거창군,7225589
경상남도,합천군,7114698
경상북도,포항시,5.27E+07
경상북도,경주시,4.51E+07
경상북도,김천시,1.26E+07
경상북도,안동시,1.71E+07
경상북도,구미시,2.52E+07
경상북도,영주시,8824459
경상북도,영천시,1.25E+07
경상북도,상주시,1.29E+07
경상북도,문경시,1.08E+07
경상북도,경산시,3.05E+07
경상북도,의성군,7126214
경상북도,청송군,5108344
경상북도,영양군,1713624
경상북도,영덕군,1.01E+07
경상북도,청도군,1.04E+07
경상북도,고령군,6117394
경상북도,성주군,7236358
경상북도,칠곡군,2.05E+07
경상북도,예천군,6823386
경상북도,봉화군,4491865
경상북도,울진군,7979226
경상북도,울릉군,1901498
광주광역시,동구,3.34E+07
광주광역시,서구,4.76E+07
광주광역시,남구,2.01E+07
광주광역시,북구,4.56E+07
광주광역시,광산구,4.29E+07
대구광역시,중구,6.01E+07
대구광역시,동구,5.62E+07
대구광역시,서구,1.94E+07
대구광역시,남구,2.66E+07
대구광역시,북구,4.66E+07
대구광역시,수성구,4.73E+07
대구광역시,달서구,5.22E+07
대구광역시,달성군,2.91E+07
대구광역시,군위군,7142751
대전광역시,동구,3.30E+07
대전광역시,중구,3.88E+07
대전광역시,서구,5.59E+07
대전광역시,유성구,5.47E+07
대전광역시,대덕구,2.42E+07
부산광역시,중구,3.77E+07
부산광역시,서구,2.02E+07
부산광역시,동구,3.01E+07
부산광역시,영도구,1.86E+07
부산광역시,부산진구,6.90E+07
부산광역시,동래구,3.37E+07
부산광역시,남구,2.84E+07
부산광역시,북구,2.30E+07
부산광역시,해운대구,6.65E+07
부산광역시,사하구,2.27E+07
부산광역시,금정구,2.83E+07
부산광역시,강서구,3.70E+07
부산광역시,연제구,2.72E+07
부산광역시,수영구,3.70E+07
부산광역시,사상구,2.68E+07
부산광역시,기장군,4.10E+07
서울특별시,종로구,1.30E+08
서울특별시,중구,1.34E+08
서울특별시,용산구,9.54E+07
서울특별시,성동구,5.81E+07
서울특별시,광진구,6.66E+07
서울특별시,동대문구,5.17E+07
서울특별시,중랑구,3.46E+07
서울특별시,성북구,4.86E+07
서울특별시,강북구,3.15E+07
서울특별시,도봉구,2.93E+07
서울특별시,노원구,5.62E+07
서울특별시,은평구,3.64E+07
서울특별시,서대문구,7.85E+07
서울특별시,마포구,1.13E+08
서울특별시,양천구,3.85E+07
서울특별시,강서구,7.67E+07
서울특별시,구로구,5.90E+07
서울특별시,금천구,2.95E+07
서울특별시,영등포구,1.07E+08
서울특별시,동작구,5.40E+07
서울특별시,관악구,5.71E+07
서울특별시,서초구,1.52E+08
서울특별시,강남구,2.14E+08
서울특별시,송파구,1.17E+08
서울특별시,강동구,4.96E+07
세종특별자치시,세종특별자치시,3.06E+07
울산광역시,중구,2.48E+07
울산광역시,남구,4.26E+07
울산광역시,동구,1.30E+07
울산광역시,북구,2.28E+07
울산광역시,울주군,3.30E+07
인천광역시,중구,5.30E+07
인천광역시,동구,9978692
인천광역시,미추홀구,4.33E+07
인천광역시,연수구,4.41E+07
인천광역시,남동구,5.20E+07
인천광역시,부평구,4.75E+07
인천광역시,계양구,2.74E+07
인천광역시,서구,5.08E+07
인천광역시,강화군,1.68E+07
인천광역시,옹진군,6333800
전라남도,목포시,2.54E+07
전라남도,여수시,2.71E+07
전라남도,순천시,2.52E+07
전라남도,나주시,1.63E+07
전라남도,광양시,1.36E+07
전라남도,담양군,1.55E+07
전라남도,곡성군,5564500
전라남도,구례군,5814886
전라남도,고흥군,6835178
전라남도,보성군,7043032
전라남도,화순군,1.23E+07
전라남도,장흥군,5271406
전라남도,강진군,5643222
전라남도,해남군,8737082
전라남도,영암군,1.04E+07
전라남도,무안군,1.50E+07
전라남도,함평군,6448204
전라남도,영광군,7394706
전라남도,장성군,1.03E+07
전라남도,완도군,5906562
전라남도,진도군,5006200
전라남도,신안군,6916976
전북특별자치도,전주시,6.86E+07
전북특별자치도,군산시,2.48E+07
전북특별자치도,익산시,2.26E+07
전북특별자치도,정읍시,1.14E+07
전북특별자치도,남원시,9988842
전북특별자치도,김제시,1.19E+07
전북특별자치도,완주군,2.06E+07
전북특별자치도,진안군,4713912
전북특별자치도,무주군,7888664
전북특별자치도,장수군,2899578
전북특별자치도,임실군,8092476
전북특별자치도,순창군,4987230
전북특별자치도,고창군,1.02E+07
전북특별자치도,부안군,1.02E+07
제주특별자치도,제주시,6.52E+07
제주특별자치도,서귀포시,4.97E+07
충청남도,천안시,7.57E+07
충청남도,공주시,2.71E+07
충청남도,보령시,1.83E+07
충청남도,아산시,3.45E+07
충청남도,서산시,1.83E+07
충청남도,논산시,1.63E+07
충청남도,계룡시,5446164
충청남도,당진시,2.33E+07
충청남도,금산군,1.04E+07
충청남도,부여군,1.10E+07
충청남도,서천군,1.01E+07
충청남도,청양군,4722434
충청남도,홍성군,1.22E+07
충청남도,예산군,1.50E+07
충청남도,태안군,1.81E+07
충청북도,청주시,1.06E+08
충청북도,충주시,2.42E+07
충청북도,제천시,1.47E+07
충청북도,보은군,6022919
충청북도,옥천군,1.05E+07
충청북도,영동군,6496136
충청북도,증평군,5827234
충청북도,진천군,1.28E+07
충청북도,괴산군,1.05E+07
충청북도,음성군,1.91E+07
충청북도,단양군,8807060
