광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,2315450,5.9,448343,11.4
강원특별자치도,원주시,2315450,5.9,465518,11.9
강원특별자치도,강릉시,2315450,5.9,491841,12.5
강원특별자치도,동해시,2315450,5.9,195454,5
강원특별자치도,태백시,2315450,5.9,83534,2.1
강원특별자치도,속초시,2315450,5.9,321258,8.2
강원특별자치도,삼척시,2315450,5.9,190634,4.9
강원특별자치도,홍천군,2315450,5.9,259028,6.6
강원특별자치도,횡성군,2315450,5.9,168976,4.3
강원특별자치도,영월군,2315450,5.9,127288,3.2
강원특별자치도,평창군,2315450,5.9,248220,6.3
강원특별자치도,정선군,2315450,5.9,143622,3.7
강원특별자치도,철원군,2315450,5.9,123277,3.1
강원특별자치도,화천군,2315450,5.9,61173,1.6
강원특별자치도,양구군,2315450,5.9,49868,1.3
강원특별자치도,인제군,2315450,5.9,129448,3.3
강원특별자치도,고성군,2315450,5.9,190572,4.9
강원특별자치도,양양군,2315450,5.9,224196,5.7
경기도,수원시,7161766,18.4,1610896,7.8
경기도,성남시,7161766,18.4,1269527,6.1
경기도,의정부시,7161766,18.4,545174,2.6
경기도,안양시,7161766,18.4,644046,3.1
경기도,부천시,7161766,18.4,796814,3.9
경기도,광명시,7161766,18.4,435498,2.1
경기도,평택시,7161766,18.4,598210,2.9
경기도,동두천시,7161766,18.4,148687,0.7
경기도,안산시,7161766,18.4,827708,4
경기도,고양시,7161766,18.4,1412985,6.8
경기도,과천시,7161766,18.4,172459,0.8
경기도,구리시,7161766,18.4,509096,2.5
경기도,남양주시,7161766,18.4,1029032,5
경기도,오산시,7161766,18.4,312739,1.5
경기도,시흥시,7161766,18.4,630578,3.1
경기도,군포시,7161766,18.4,293752,1.4
경기도,의왕시,7161766,18.4,324205,1.6
경기도,하남시,7161766,18.4,706906,3.4
경기도,용인시,7161766,18.4,1510138,7.3
경기도,파주시,7161766,18.4,787832,3.8
경기도,이천시,7161766,18.4,591364,2.9
경기도,안성시,7161766,18.4,621156,3
경기도,김포시,7161766,18.4,628453,3
경기도,화성시,7161766,18.4,1178296,5.7
경기도,광주시,7161766,18.4,657570,3.2
경기도,양주시,7161766,18.4,467607,2.3
경기도,포천시,7161766,18.4,480781,2.3
경기도,여주시,7161766,18.4,394940,1.9
경기도,연천군,7161766,18.4,167993,0.8
경기도,가평군,7161766,18.4,420770,2
경기도,양평군,7161766,18.4,497189,2.4
경상남도,창원시,2608280,6.7,1474840,26.1
경상남도,진주시,2608280,6.7,377472,6.7
경상남도,통영시,2608280,6.7,242694,4.3
경상남도,사천시,2608280,6.7,285614,5
경상남도,김해시,2608280,6.7,610774,10.8
경상남도,밀양시,2608280,6.7,281540,5
경상남도,거제시,2608280,6.7,347823,6.1
경상남도,양산시,2608280,6.7,460198,8.1
경상남도,의령군,2608280,6.7,100300,1.8
경상남도,함안군,2608280,6.7,179711,3.2
경상남도,창녕군,2608280,6.7,185266,3.3
경상남도,고성군,2608280,6.7,179921,3.2
경상남도,남해군,2608280,6.7,175514,3.1
경상남도,하동군,2608280,6.7,149121,2.6
경상남도,산청군,2608280,6.7,144585,2.6
경상남도,함양군,2608280,6.7,126091,2.2
경상남도,거창군,2608280,6.7,160478,2.8
경상남도,합천군,2608280,6.7,179550,3.2
경상북도,포항시,3468255,8.9,696339,12.2
경상북도,경주시,3468255,8.9,704697,12.3
경상북도,김천시,3468255,8.9,240012,4.2
경상북도,안동시,3468255,8.9,348792,6.1
경상북도,구미시,3468255,8.9,362638,6.3
경상북도,영주시,3468255,8.9,208250,3.6
경상북도,영천시,3468255,8.9,281722,4.9
경상북도,상주시,3468255,8.9,301178,5.3
경상북도,문경시,3468255,8.9,282933,4.9
경상북도,경산시,3468255,8.9,469063,8.2
경상북도,의성군,3468255,8.9,203718,3.6
경상북도,청송군,3468255,8.9,114552,2
경상북도,영양군,3468255,8.9,57516,1
경상북도,영덕군,3468255,8.9,199546,3.5
경상북도,청도군,3468255,8.9,200088,3.5
경상북도,고령군,3468255,8.9,113953,2
경상북도,성주군,3468255,8.9,162606,2.8
경상북도,칠곡군,3468255,8.9,339580,5.9
경상북도,예천군,3468255,8.9,157346,2.8
경상북도,봉화군,3468255,8.9,110246,1.9
경상북도,울진군,3468255,8.9,143840,2.5
경상북도,울릉군,3468255,8.9,19215,0.3
광주광역시,동구,903522,2.3,344050,15.5
광주광역시,서구,903522,2.3,517482,23.3
광주광역시,남구,903522,2.3,282916,12.7
광주광역시,북구,903522,2.3,590110,26.5
광주광역시,광산구,903522,2.3,490038,22
대구광역시,중구,1459958,3.8,522246,12.4
대구광역시,동구,1459958,3.8,681639,16.2
대구광역시,서구,1459958,3.8,267554,6.4
대구광역시,남구,1459958,3.8,310716,7.4
대구광역시,북구,1459958,3.8,593982,14.1
대구광역시,수성구,1459958,3.8,574721,13.7
대구광역시,달서구,1459958,3.8,684607,16.3
대구광역시,달성군,1459958,3.8,392550,9.3
대구광역시,군위군,1459958,3.8,175119,4.2
대전광역시,동구,1017415,2.6,434252,18.6
대전광역시,중구,1017415,2.6,454615,19.5
대전광역시,서구,1017415,2.6,585806,25.1
대전광역시,유성구,1017415,2.6,554358,23.8
대전광역시,대덕구,1017415,2.6,302589,13
부산광역시,중구,1966122,5.1,348596,5.5
부산광역시,서구,1966122,5.1,225736,3.6
부산광역시,동구,1966122,5.1,296268,4.7
부산광역시,영도구,1966122,5.1,237346,3.7
부산광역시,부산진구,1966122,5.1,707340,11.2
부산광역시,동래구,1966122,5.1,405769,6.4
부산광역시,남구,1966122,5.1,352166,5.6
부산광역시,북구,1966122,5.1,353098,5.6
부산광역시,해운대구,1966122,5.1,669448,10.6
부산광역시,사하구,1966122,5.1,337656,5.3
부산광역시,금정구,1966122,5.1,389284,6.1
부산광역시,강서구,1966122,5.1,408905,6.5
부산광역시,연제구,1966122,5.1,317842,5
부산광역시,수영구,1966122,5.1,419212,6.6
부산광역시,사상구,1966122,5.1,342258,5.4
부산광역시,기장군,1966122,5.1,526099,8.3
서울특별시,종로구,5325383,13.7,1073023,6.2
서울특별시,중구,5325383,13.7,947622,5.5
서울특별시,용산구,5325383,13.7,892591,5.2
서울특별시,성동구,5325383,13.7,503612,2.9
서울특별시,광진구,5325383,13.7,669106,3.9
서울특별시,동대문구,5325383,13.7,507654,2.9
서울특별시,중랑구,5325383,13.7,438340,2.5
서울특별시,성북구,5325383,13.7,552496,3.2
서울특별시,강북구,5325383,13.7,396137,2.3
서울특별시,도봉구,5325383,13.7,385844,2.2
서울특별시,노원구,5325383,13.7,677044,3.9
서울특별시,은평구,5325383,13.7,449309,2.6
서울특별시,서대문구,5325383,13.7,631659,3.7
서울특별시,마포구,5325383,13.7,978232,5.7
서울특별시,양천구,5325383,13.7,402185,2.3
서울특별시,강서구,5325383,13.7,808472,4.7
서울특별시,구로구,5325383,13.7,584742,3.4
서울특별시,금천구,5325383,13.7,292652,1.7
서울특별시,영등포구,5325383,13.7,874678,5.1
서울특별시,동작구,5325383,13.7,552615,3.2
서울특별시,관악구,5325383,13.7,553564,3.2
서울특별시,서초구,5325383,13.7,1127382,6.6
서울특별시,강남구,5325383,13.7,1346832,7.8
서울특별시,송파구,5325383,13.7,1063702,6.2
서울특별시,강동구,5325383,13.7,499650,2.9
세종특별자치시,세종특별자치시,333312,0.9,388944,100
울산광역시,중구,624670,1.6,275443,17.8
