광역지자체명,기초지자체명,기초지자체 방문자 수
강원특별자치도,춘천시,3.20E+07
강원특별자치도,원주시,3.32E+07
강원특별자치도,강릉시,3.42E+07
강원특별자치도,동해시,1.19E+07
강원특별자치도,태백시,5406163
강원특별자치도,속초시,2.49E+07
강원특별자치도,삼척시,1.21E+07
강원특별자치도,홍천군,1.70E+07
강원특별자치도,횡성군,1.12E+07
강원특별자치도,영월군,7248297
강원특별자치도,평창군,1.77E+07
강원특별자치도,정선군,9877122
강원특별자치도,철원군,7169348
강원특별자치도,화천군,4657212
강원특별자치도,양구군,2891791
강원특별자치도,인제군,9295818
강원특별자치도,고성군,1.30E+07
강원특별자치도,양양군,1.58E+07
경기도,수원시,1.77E+08
경기도,성남시,1.43E+08
경기도,의정부시,4.35E+07
경기도,안양시,6.59E+07
경기도,부천시,7.20E+07
경기도,광명시,4.08E+07
경기도,평택시,4.82E+07
경기도,동두천시,9741501
경기도,안산시,7.37E+07
경기도,고양시,1.41E+08
경기도,과천시,2.04E+07
경기도,구리시,4.52E+07
경기도,남양주시,7.30E+07
경기도,오산시,2.85E+07
경기도,시흥시,5.31E+07
경기도,군포시,2.62E+07
경기도,의왕시,2.88E+07
경기도,하남시,5.65E+07
경기도,용인시,1.32E+08
경기도,파주시,5.34E+07
경기도,이천시,3.76E+07
경기도,안성시,3.58E+07
경기도,김포시,5.13E+07
경기도,화성시,9.98E+07
경기도,광주시,4.62E+07
경기도,양주시,3.50E+07
경기도,포천시,2.88E+07
경기도,여주시,2.55E+07
경기도,연천군,9125529
경기도,가평군,2.68E+07
경기도,양평군,3.09E+07
경상남도,창원시,1.10E+08
경상남도,진주시,2.26E+07
경상남도,통영시,1.59E+07
경상남도,사천시,1.58E+07
경상남도,김해시,4.42E+07
경상남도,밀양시,1.51E+07
경상남도,거제시,2.32E+07
경상남도,양산시,3.40E+07
경상남도,의령군,4407442
경상남도,함안군,1.10E+07
경상남도,창녕군,9794830
경상남도,고성군,9720232
경상남도,남해군,8570436
경상남도,하동군,8239802
경상남도,산청군,7305820
경상남도,함양군,6520076
경상남도,거창군,6580472
경상남도,합천군,6918681
경상북도,포항시,5.47E+07
경상북도,경주시,4.75E+07
경상북도,김천시,1.30E+07
경상북도,안동시,1.71E+07
경상북도,구미시,2.62E+07
경상북도,영주시,8869693
경상북도,영천시,1.33E+07
경상북도,상주시,1.37E+07
경상북도,문경시,1.13E+07
경상북도,경산시,3.11E+07
경상북도,의성군,7243204
경상북도,청송군,5187378
경상북도,영양군,1730488
경상북도,영덕군,1.05E+07
경상북도,청도군,1.04E+07
경상북도,고령군,6172537
경상북도,성주군,7516768
경상북도,칠곡군,2.17E+07
경상북도,예천군,6933598
경상북도,봉화군,4572400
경상북도,울진군,8373813
경상북도,울릉군,1722892
광주광역시,동구,3.37E+07
광주광역시,서구,5.07E+07
광주광역시,남구,2.08E+07
광주광역시,북구,4.65E+07
광주광역시,광산구,4.50E+07
대구광역시,중구,6.43E+07
대구광역시,동구,6.05E+07
대구광역시,서구,2.06E+07
대구광역시,남구,2.73E+07
대구광역시,북구,4.97E+07
대구광역시,수성구,4.84E+07
대구광역시,달서구,5.45E+07
대구광역시,달성군,2.99E+07
대구광역시,군위군,7759794
대전광역시,동구,3.62E+07
대전광역시,중구,4.16E+07
대전광역시,서구,6.00E+07
대전광역시,유성구,5.86E+07
대전광역시,대덕구,2.52E+07
부산광역시,중구,4.00E+07
부산광역시,서구,2.03E+07
부산광역시,동구,3.30E+07
부산광역시,영도구,1.91E+07
부산광역시,부산진구,7.14E+07
부산광역시,동래구,3.68E+07
부산광역시,남구,3.01E+07
부산광역시,북구,2.39E+07
부산광역시,해운대구,6.76E+07
부산광역시,사하구,2.32E+07
부산광역시,금정구,2.97E+07
부산광역시,강서구,4.00E+07
부산광역시,연제구,3.00E+07
부산광역시,수영구,3.78E+07
부산광역시,사상구,2.77E+07
부산광역시,기장군,4.16E+07
서울특별시,종로구,1.37E+08
서울특별시,중구,1.44E+08
서울특별시,용산구,1.00E+08
서울특별시,성동구,6.21E+07
서울특별시,광진구,6.95E+07
서울특별시,동대문구,5.52E+07
서울특별시,중랑구,3.59E+07
서울특별시,성북구,5.04E+07
서울특별시,강북구,3.27E+07
서울특별시,도봉구,3.05E+07
서울특별시,노원구,5.84E+07
서울특별시,은평구,3.78E+07
서울특별시,서대문구,8.30E+07
서울특별시,마포구,1.19E+08
서울특별시,양천구,3.73E+07
서울특별시,강서구,7.98E+07
서울특별시,구로구,6.25E+07
서울특별시,금천구,2.89E+07
서울특별시,영등포구,1.10E+08
서울특별시,동작구,5.76E+07
서울특별시,관악구,5.88E+07
서울특별시,서초구,1.61E+08
서울특별시,강남구,2.20E+08
서울특별시,송파구,1.24E+08
서울특별시,강동구,5.00E+07
세종특별자치시,세종특별자치시,3.11E+07
울산광역시,중구,2.45E+07
울산광역시,남구,4.42E+07
울산광역시,동구,1.35E+07
울산광역시,북구,2.39E+07
울산광역시,울주군,3.46E+07
인천광역시,중구,7.69E+07
인천광역시,동구,1.01E+07
인천광역시,미추홀구,4.46E+07
인천광역시,연수구,4.87E+07
인천광역시,남동구,5.34E+07
인천광역시,부평구,4.90E+07
인천광역시,계양구,2.79E+07
인천광역시,서구,5.44E+07
인천광역시,강화군,1.73E+07
인천광역시,옹진군,6220690
전라남도,목포시,2.64E+07
전라남도,여수시,2.76E+07
전라남도,순천시,2.78E+07
전라남도,나주시,1.62E+07
전라남도,광양시,1.39E+07
전라남도,담양군,1.59E+07
전라남도,곡성군,5794030
전라남도,구례군,6280228
전라남도,고흥군,6785656
전라남도,보성군,7275926
전라남도,화순군,1.27E+07
전라남도,장흥군,5466146
전라남도,강진군,5768942
전라남도,해남군,9214940
전라남도,영암군,1.05E+07
전라남도,무안군,1.55E+07
전라남도,함평군,6344359
전라남도,영광군,7291862
전라남도,장성군,1.06E+07
전라남도,완도군,6161452
전라남도,진도군,5156900
전라남도,신안군,7268600
전북특별자치도,전주시,7.16E+07
전북특별자치도,군산시,2.52E+07
전북특별자치도,익산시,2.38E+07
전북특별자치도,정읍시,1.14E+07
전북특별자치도,남원시,1.05E+07
전북특별자치도,김제시,1.22E+07
전북특별자치도,완주군,2.24E+07
전북특별자치도,진안군,4805840
전북특별자치도,무주군,8460599
전북특별자치도,장수군,2824728
전북특별자치도,임실군,8522745
전북특별자치도,순창군,5067419
전북특별자치도,고창군,9827076
전북특별자치도,부안군,1.04E+07
제주특별자치도,제주시,6.08E+07
제주특별자치도,서귀포시,4.56E+07
충청남도,천안시,7.91E+07
충청남도,공주시,2.60E+07
충청남도,보령시,1.79E+07
충청남도,아산시,3.65E+07
충청남도,서산시,1.85E+07
충청남도,논산시,1.66E+07
충청남도,계룡시,5151682
충청남도,당진시,2.31E+07
충청남도,금산군,1.03E+07
충청남도,부여군,1.08E+07
충청남도,서천군,1.07E+07
충청남도,청양군,4921434
충청남도,홍성군,1.27E+07
충청남도,예산군,1.55E+07
충청남도,태안군,1.77E+07
충청북도,청주시,1.09E+08
충청북도,충주시,2.60E+07
충청북도,제천시,1.55E+07
충청북도,보은군,6853154
충청북도,옥천군,1.05E+07
충청북도,영동군,6762942
충청북도,증평군,5838592
충청북도,진천군,1.27E+07
충청북도,괴산군,1.07E+07
충청북도,음성군,1.89E+07
충청북도,단양군,9421416
